Tweet date,Language,Relevant tweets
#date +posted,#meta +lang,#indicator +num +tweets
2019-05-23,fr,43
2019-05-24,fr,243
2019-05-25,en,1076
2019-05-25,fr,60
2019-05-26,en,5984
2019-05-26,fr,21
2019-05-27,en,4712
2019-05-27,fr,46
2019-05-28,en,8935
2019-05-28,fr,38
2019-05-29,en,7359
2019-05-29,fr,137
2019-05-30,en,11853
2019-05-30,fr,76
2019-05-31,en,10949
2019-05-31,fr,29
2019-06-01,ar,4
2019-06-01,en,15255
2019-06-01,fr,3
2019-06-02,en,12164
2019-06-02,fr,13
2019-06-03,ar,2
2019-06-03,en,25063
2019-06-03,fr,3
2019-06-04,ar,2
2019-06-04,en,55905
2019-06-04,fr,6
2019-06-05,ar,1
2019-06-05,en,28955
2019-06-05,fr,20
2019-06-06,en,4431
2019-06-06,fr,150
2019-06-07,en,9680
2019-06-07,fr,116
2019-06-08,en,8102
2019-06-08,fr,28
2019-06-09,en,7976
2019-06-09,fr,13
2019-06-10,en,6687
2019-06-10,fr,70
2019-06-11,en,6323
2019-06-11,fr,45
2019-06-12,ar,7
2019-06-12,en,7284
2019-06-12,fr,98
2019-06-13,ar,8
2019-06-13,en,7708
2019-06-13,fr,41
2019-06-14,ar,6
2019-06-14,en,5999
2019-06-14,fr,41
2019-06-15,ar,5
2019-06-15,en,8020
2019-06-15,fr,72
2019-06-16,ar,9
2019-06-16,en,6289
2019-06-16,fr,8
2019-06-17,ar,23
2019-06-17,en,6393
2019-06-17,fr,13
2019-06-18,ar,5
2019-06-18,en,7900
2019-06-18,fr,21
2019-06-19,ar,15
2019-06-19,en,14283
2019-06-19,fr,7
2019-06-20,ar,76
2019-06-20,en,7058
2019-06-20,fr,101
2019-06-21,ar,137
2019-06-21,en,4913
2019-06-21,fr,134
2019-06-22,ar,103
2019-06-22,en,4476
2019-06-22,fr,21
2019-06-23,ar,31
2019-06-23,en,4005
2019-06-23,fr,5
2019-06-24,en,4238
2019-06-25,en,3669
2019-06-26,en,4868
2019-06-27,en,6137
2019-06-28,en,7680
2019-06-29,en,5074
2019-06-30,en,14617
2019-07-01,en,12179
2019-07-02,en,7606
2019-07-03,en,4473
2019-07-04,ar,172
2019-07-04,en,3815
2019-07-04,fr,37
2019-07-05,ar,105
2019-07-05,en,3378
2019-07-05,fr,21
2019-07-06,ar,160
2019-07-06,en,3302
2019-07-06,fr,39
2019-07-07,ar,178
2019-07-07,en,2723
2019-07-07,fr,22
2019-07-08,ar,92
2019-07-08,en,2360
2019-07-08,fr,24
2019-07-09,ar,204
2019-07-09,en,5096
2019-07-09,fr,52
2019-07-10,ar,196
2019-07-10,en,2428
2019-07-10,fr,79
2019-07-11,ar,88
2019-07-11,en,6091
2019-07-11,fr,415
2019-07-12,ar,231
2019-07-12,en,4464
2019-07-12,fr,96
2019-07-13,ar,474
2019-07-13,en,6192
2019-07-13,fr,46
2019-07-14,ar,426
2019-07-14,en,4466
2019-07-14,fr,23
2019-07-15,ar,1077
2019-07-15,en,31706
2019-07-15,fr,55
2019-07-16,ar,403
2019-07-16,en,25400
2019-07-16,fr,30
2019-07-17,ar,803
2019-07-17,en,16899
2019-07-17,fr,78
2019-07-18,ar,1604
2019-07-18,en,10827
2019-07-18,fr,95
2019-07-19,ar,7983
2019-07-19,en,16286
2019-07-19,fr,935
2019-07-20,ar,54798
2019-07-20,en,17406
2019-07-20,fr,182
2019-07-21,ar,50147
2019-07-21,en,20887
2019-07-21,fr,206
2019-07-22,ar,33258
2019-07-22,en,15198
2019-07-22,fr,230
2019-07-23,ar,561
2019-07-23,en,18557
2019-07-23,fr,57
2019-07-24,ar,540
2019-07-24,en,15849
2019-07-24,fr,418
2019-07-25,ar,676
2019-07-25,en,12671
2019-07-25,fr,170
2019-07-26,ar,388
2019-07-26,en,7233
2019-07-26,fr,20
2019-07-27,ar,344
2019-07-28,ar,988
2019-07-29,ar,7662
