Week starting,Language,Country code,Tweets
#date+week_start,#meta+lang,#country+code+v_iso2,#indicator+tweets
19/05/2019,en,,23
19/05/2019,en,AUS,1
19/05/2019,en,CAN,2
19/05/2019,en,FRA,1
19/05/2019,en,GBR,1
19/05/2019,en,GEO,1
19/05/2019,en,HRV,1
19/05/2019,en,ITA,1
19/05/2019,en,NGA,1
19/05/2019,en,NLD,1
19/05/2019,en,PAK,1
19/05/2019,en,USA,35
19/05/2019,en,ZAF,1
19/05/2019,fr,,9
19/05/2019,fr,FRA,11
19/05/2019,fr,GBR,1
19/05/2019,fr,ITA,2
19/05/2019,fr,USA,1
26/05/2019,ar,,4
26/05/2019,en,,982
26/05/2019,en,AFG,11
26/05/2019,en,ALB,1
26/05/2019,en,AND,1
26/05/2019,en,ARE,1
26/05/2019,en,ARG,4
26/05/2019,en,ATA,1
26/05/2019,en,AUS,27
26/05/2019,en,AZE,1
26/05/2019,en,BEL,3
26/05/2019,en,BEN,2
26/05/2019,en,BGD,1
26/05/2019,en,BMU,1
26/05/2019,en,BRA,11
26/05/2019,en,CAN,39
26/05/2019,en,CHE,6
26/05/2019,en,CHL,7
26/05/2019,en,CHN,4
26/05/2019,en,CIV,2
26/05/2019,en,CMR,2
26/05/2019,en,COL,2
26/05/2019,en,DEU,8
26/05/2019,en,DNK,3
26/05/2019,en,ECU,1
26/05/2019,en,ESP,4
26/05/2019,en,ETH,1
26/05/2019,en,FIN,11
26/05/2019,en,FRA,17
26/05/2019,en,GBR,74
26/05/2019,en,GHA,6
26/05/2019,en,GRC,19
26/05/2019,en,GUY,1
26/05/2019,en,HUN,1
26/05/2019,en,IDN,5
26/05/2019,en,IMN,1
26/05/2019,en,IND,49
26/05/2019,en,IRL,1
26/05/2019,en,IRN,2
26/05/2019,en,IRQ,2
26/05/2019,en,ISL,2
26/05/2019,en,ISR,2
26/05/2019,en,ITA,6
26/05/2019,en,JAM,3
26/05/2019,en,JPN,21
26/05/2019,en,KEN,6
26/05/2019,en,KOR,2
26/05/2019,en,KWT,2
26/05/2019,en,LBR,2
26/05/2019,en,LKA,3
26/05/2019,en,LTU,1
26/05/2019,en,LUX,1
26/05/2019,en,MAC,1
26/05/2019,en,MAR,1
26/05/2019,en,MEX,3
26/05/2019,en,MNG,1
26/05/2019,en,MOZ,1
26/05/2019,en,MYS,1
26/05/2019,en,NGA,37
26/05/2019,en,NLD,1
26/05/2019,en,NOR,2
26/05/2019,en,NPL,6
26/05/2019,en,NZL,2
26/05/2019,en,OMN,1
26/05/2019,en,PAK,9
26/05/2019,en,PHL,2
26/05/2019,en,POL,2
26/05/2019,en,PRT,1
26/05/2019,en,PSE,1
26/05/2019,en,QAT,1
26/05/2019,en,ROU,1
26/05/2019,en,RUS,2
26/05/2019,en,SGP,2
26/05/2019,en,SLE,1
26/05/2019,en,SOM,2
26/05/2019,en,SVK,5
26/05/2019,en,SWE,2
26/05/2019,en,SYR,1
26/05/2019,en,THA,2
26/05/2019,en,TUN,5
26/05/2019,en,TUR,3
26/05/2019,en,TWN,2
26/05/2019,en,TZA,1
26/05/2019,en,URY,1
26/05/2019,en,USA,1423
26/05/2019,en,VNM,1
26/05/2019,en,ZAF,1
26/05/2019,en,ZWE,1
26/05/2019,fr,,2
26/05/2019,fr,CAN,2
26/05/2019,fr,FRA,6
2/06/2019,en,,1507
2/06/2019,en,AFG,2
2/06/2019,en,ARE,1
2/06/2019,en,ARG,3
2/06/2019,en,AUS,14
2/06/2019,en,AUT,1
2/06/2019,en,AZE,1
