"","Week.starting","Language","Country.code","Tweets","group"
"2",2019-07-07,"ar","ARE",1,"1"
"3",2019-07-07,"ar","CHE",1,"1"
"4",2019-07-07,"ar","DEU",2,"1"
"5",2019-07-07,"ar","DZA",2,"1"
"6",2019-07-07,"ar","EGY",5,"1"
"7",2019-07-07,"ar","GBR",1,"1"
"8",2019-07-07,"ar","IRQ",2,"1"
"9",2019-07-07,"ar","KWT",6,"1"
"10",2019-07-07,"ar","LBN",2,"1"
"11",2019-07-07,"ar","PAK",2,"1"
"12",2019-07-07,"ar","PSE",2,"1"
"13",2019-07-07,"ar","SAU",25,"1"
"14",2019-07-07,"ar","SDN",2,"1"
"15",2019-07-07,"ar","SYR",3,"1"
"16",2019-07-07,"ar","TUR",2,"1"
"17",2019-07-07,"ar","USA",2,"1"
"18",2019-07-07,"ar","YEM",13,"1"
"20",2019-07-07,"en","AFG",17,"1"
"21",2019-07-07,"en","ALB",1,"1"
"22",2019-07-07,"en","ARG",2,"1"
"23",2019-07-07,"en","AUT",2,"1"
"24",2019-07-07,"en","BEL",2,"1"
"25",2019-07-07,"en","BHR",3,"1"
"26",2019-07-07,"en","BMU",1,"1"
"27",2019-07-07,"en","CAN",20,"1"
"28",2019-07-07,"en","CHE",1,"1"
"29",2019-07-07,"en","CHN",2,"1"
"30",2019-07-07,"en","COL",1,"1"
"31",2019-07-07,"en","CYP",3,"1"
"32",2019-07-07,"en","DEU",5,"1"
"33",2019-07-07,"en","DNK",2,"1"
"34",2019-07-07,"en","ECU",1,"1"
"35",2019-07-07,"en","ESP",6,"1"
"36",2019-07-07,"en","ETH",1,"1"
"37",2019-07-07,"en","FIN",1,"1"
"38",2019-07-07,"en","FJI",1,"1"
"39",2019-07-07,"en","FRA",5,"1"
"40",2019-07-07,"en","GBR",40,"1"
"41",2019-07-07,"en","GHA",5,"1"
"42",2019-07-07,"en","GRC",4,"1"
"43",2019-07-07,"en","GUY",1,"1"
"44",2019-07-07,"en","HND",2,"1"
"45",2019-07-07,"en","IDN",5,"1"
"46",2019-07-07,"en","IND",9,"1"
"47",2019-07-07,"en","IRN",3,"1"
"48",2019-07-07,"en","IRQ",1,"1"
"49",2019-07-07,"en","ISL",1,"1"
"50",2019-07-07,"en","ISR",1,"1"
"51",2019-07-07,"en","ITA",8,"1"
"52",2019-07-07,"en","JPN",5,"1"
"53",2019-07-07,"en","KEN",6,"1"
"54",2019-07-07,"en","KHM",1,"1"
"55",2019-07-07,"en","KOR",1,"1"
"56",2019-07-07,"en","LKA",7,"1"
"57",2019-07-07,"en","MLI",1,"1"
"58",2019-07-07,"en","MLT",1,"1"
"59",2019-07-07,"en","MNG",1,"1"
"60",2019-07-07,"en","MYS",1,"1"
"61",2019-07-07,"en","NAM",1,"1"
"62",2019-07-07,"en","NGA",66,"1"
"63",2019-07-07,"en","NLD",3,"1"
"64",2019-07-07,"en","NOR",1,"1"
"65",2019-07-07,"en","NPL",2,"1"
"66",2019-07-07,"en","NZL",1,"1"
"67",2019-07-07,"en","OMN",1,"1"
"68",2019-07-07,"en","PAK",15,"1"
"69",2019-07-07,"en","PER",1,"1"
"70",2019-07-07,"en","PHL",4,"1"
"71",2019-07-07,"en","PRT",1,"1"
"72",2019-07-07,"en","RUS",2,"1"
"73",2019-07-07,"en","SAU",2,"1"
"74",2019-07-07,"en","SVN",1,"1"
"75",2019-07-07,"en","SWE",2,"1"
"76",2019-07-07,"en","TUR",3,"1"
"77",2019-07-07,"en","UGA",1,"1"
"78",2019-07-07,"en","UKR",1,"1"
"79",2019-07-07,"en","URY",1,"1"
"80",2019-07-07,"en","USA",1981,"1"
"81",2019-07-07,"en","VEN",1,"1"
"82",2019-07-07,"en","ZMB",1,"1"
"84",2019-07-07,"fr","FIN",1,"1"
"85",2019-07-07,"fr","FRA",7,"1"
"86",2019-07-07,"fr","USA",2,"1"
"88",2019-07-14,"ar","AFG",3,"1"
"89",2019-07-14,"ar","ARE",40,"1"
"90",2019-07-14,"ar","ARG",1,"1"
"91",2019-07-14,"ar","AUS",2,"1"
"92",2019-07-14,"ar","AUT",1,"1"
"93",2019-07-14,"ar","BEL",1,"1"
"94",2019-07-14,"ar","BHR",5,"1"
"95",2019-07-14,"ar","BIH",1,"1"
"96",2019-07-14,"ar","BRA",1,"1"
"97",2019-07-14,"ar","CAN",6,"1"
"98",2019-07-14,"ar","CHE",5,"1"
"99",2019-07-14,"ar","CHN",2,"1"
"100",2019-07-14,"ar","CMR",2,"1"
"101",2019-07-14,"ar","DEU",9,"1"
"102",2019-07-14,"ar","DZA",11,"1"
"103",2019-07-14,"ar","ECU",1,"1"
"104",2019-07-14,"ar","EGY",149,"1"
"105",2019-07-14,"ar","ESP",2,"1"
"106",2019-07-14,"ar","FIN",36,"1"
"107",2019-07-14,"ar","FRA",12,"1"
"108",2019-07-14,"ar","GBR",25,"1"
"109",2019-07-14,"ar","HRV",2,"1"
"110",2019-07-14,"ar","HUN",1,"1"
"111",2019-07-14,"ar","IDN",1,"1"
"112",2019-07-14,"ar","IND",2,"1"
"113",2019-07-14,"ar","IRN",12,"1"
"114",2019-07-14,"ar","IRQ",34,"1"
"115",2019-07-14,"ar","ISL",1,"1"
"116",2019-07-14,"ar","ITA",1,"1"
"117",2019-07-14,"ar","JOR",24,"1"
"118",2019-07-14,"ar","JPN",1,"1"
"119",2019-07-14,"ar","KWT",43,"1"
"120",2019-07-14,"ar","LBN",15,"1"
"121",2019-07-14,"ar","LBY",26,"1"
"122",2019-07-14,"ar","MAR",5,"1"
"123",2019-07-14,"ar","MDV",1,"1"
"124",2019-07-14,"ar","MYS",2,"1"
"125",2019-07-14,"ar","NER",1,"1"
"126",2019-07-14,"ar","NOR",1,"1"
"127",2019-07-14,"ar","NZL",1,"1"
"128",2019-07-14,"ar","OMN",86,"1"
"129",2019-07-14,"ar","PLW",1,"1"
"130",2019-07-14,"ar","PNG",1,"1"
"131",2019-07-14,"ar","PRT",1,"1"
"132",2019-07-14,"ar","PSE",15,"1"
"133",2019-07-14,"ar","QAT",11,"1"
"134",2019-07-14,"ar","RUS",4,"1"
"135",2019-07-14,"ar","SAU",686,"1"
"136",2019-07-14,"ar","SDN",12,"1"
"137",2019-07-14,"ar","SVN",1,"1"
"138",2019-07-14,"ar","SYR",135,"1"
"139",2019-07-14,"ar","TUN",3,"1"
"140",2019-07-14,"ar","TUR",6,"1"
"141",2019-07-14,"ar","UKR",1,"1"
"142",2019-07-14,"ar","USA",74,"1"
"143",2019-07-14,"ar","YEM",81,"1"
"144",2019-07-14,"ar","ZAF",1,"1"
"146",2019-07-14,"en","AFG",65,"1"
"147",2019-07-14,"en","ALB",1,"1"
"148",2019-07-14,"en","ARE",5,"1"
"149",2019-07-14,"en","ATA",1,"1"
"150",2019-07-14,"en","AUT",2,"1"
"151",2019-07-14,"en","BEL",1,"1"
"152",2019-07-14,"en","BGD",10,"1"
"153",2019-07-14,"en","BOL",1,"1"
"154",2019-07-14,"en","BRA",1,"1"
"155",2019-07-14,"en","BRN",1,"1"
"156",2019-07-14,"en","BWA",1,"1"
"157",2019-07-14,"en","CAN",63,"1"
"158",2019-07-14,"en","CHE",4,"1"
"159",2019-07-14,"en","CHL",1,"1"
"160",2019-07-14,"en","CHN",2,"1"
"161",2019-07-14,"en","CIV",1,"1"
"162",2019-07-14,"en","CMR",4,"1"
"163",2019-07-14,"en","CPV",1,"1"
"164",2019-07-14,"en","CRI",1,"1"
"165",2019-07-14,"en","CYP",1,"1"
"166",2019-07-14,"en","CZE",2,"1"
"167",2019-07-14,"en","DEU",9,"1"
"168",2019-07-14,"en","DNK",4,"1"
"169",2019-07-14,"en","EGY",4,"1"
"170",2019-07-14,"en","ESP",4,"1"
"171",2019-07-14,"en","EST",1,"1"
"172",2019-07-14,"en","ETH",2,"1"
"173",2019-07-14,"en","FIN",12,"1"
"174",2019-07-14,"en","FRA",12,"1"
"175",2019-07-14,"en","GBR",68,"1"
"176",2019-07-14,"en","GGY",1,"1"
"177",2019-07-14,"en","GHA",4,"1"
"178",2019-07-14,"en","GRC",7,"1"
"179",2019-07-14,"en","HRV",1,"1"
"180",2019-07-14,"en","HUN",2,"1"
"181",2019-07-14,"en","IDN",1,"1"
"182",2019-07-14,"en","IND",23,"1"
"183",2019-07-14,"en","IRN",2,"1"
"184",2019-07-14,"en","IRQ",2,"1"
"185",2019-07-14,"en","ISR",3,"1"
"186",2019-07-14,"en","ITA",3,"1"
"187",2019-07-14,"en","JAM",2,"1"
"188",2019-07-14,"en","JPN",5,"1"
"189",2019-07-14,"en","KEN",12,"1"
"190",2019-07-14,"en","KOR",1,"1"
"191",2019-07-14,"en","LBN",2,"1"
"192",2019-07-14,"en","LKA",12,"1"
"193",2019-07-14,"en","LUX",1,"1"
"194",2019-07-14,"en","MAC",1,"1"
"195",2019-07-14,"en","MEX",4,"1"
"196",2019-07-14,"en","MNG",1,"1"
"197",2019-07-14,"en","MYS",3,"1"
"198",2019-07-14,"en","NAM",1,"1"
"199",2019-07-14,"en","NGA",11,"1"
